,행정구역,2011년 65세이상 인구 비율,2012년 65세이상 인구 비율,2013년 65세이상 인구 비율,2014년 65세이상 인구 비율,2015년 65세이상 인구 비율,2016년 65세이상 인구 비율,2017년 65세이상 인구 비율,2018년 65세이상 인구 비율,2019년 65세이상 인구 비율,2020년 65세이상 인구 비율
42,경기도 성남시 수정구,9.80337,10.54202,11.39122,12.10616,12.82461,12.91783,13.55874,14.30426,15.19912,15.73471
43,경기도 성남시 중원구,9.11556,9.72456,10.23956,10.91824,11.51862,12.10673,13.00973,13.80217,14.77952,15.67158
44,경기도 성남시 분당구,8.4261,8.82493,9.16492,9.49113,9.84979,10.09527,10.68167,11.21881,11.80664,12.36784
45,경기도 의정부시,10.19726,10.77067,11.30017,11.80459,12.27874,12.63431,13.2498,13.73813,14.44493,15.07573
46,경기도 안양시,8.20119,8.63133,9.07749,9.53631,10.00504,10.32366,11.00016,11.73307,12.63447,13.50513
47,경기도 안양시 만안구,9.444,10.04055,10.61515,11.17805,11.69289,12.00858,12.74978,13.60372,14.74686,15.69176
48,경기도 안양시 동안구,7.27384,7.63327,8.00154,8.3877,8.81436,9.09144,9.65963,10.28683,11.03625,11.82255
49,경기도 부천시,7.63927,8.15225,8.65246,9.16974,9.70686,10.12685,10.88249,11.57546,12.5409,13.42421
50,경기도 광명시,8.33948,8.8033,9.23223,9.74868,10.2937,10.76604,11.51507,12.19829,13.07747,13.8074
51,경기도 평택시,10.28307,10.57736,10.78718,11.02601,11.19054,11.27578,11.61423,11.79944,12.06759,12.34588
52,경기도 동두천시,13.50192,14.19192,14.83953,15.35837,15.94913,16.45553,17.47278,18.389,19.35674,20.34057
53,경기도 안산시,6.61374,6.92525,7.2391,7.59738,7.96879,8.2843,8.86618,9.4881,10.20682,10.78309
54,경기도 안산시 상록구,6.92948,7.26289,7.60748,7.9592,8.33164,8.67883,9.26219,9.92925,10.73784,11.24012
55,경기도 안산시 단원구,6.25444,6.53901,6.81345,7.17442,7.53625,7.81205,8.3879,8.9711,9.60938,10.26044
56,경기도 고양시,9.27751,9.6764,9.99706,10.34593,10.70998,10.97372,11.54846,12.12156,12.6855,13.31293
57,경기도 고양시 덕양구,10.24061,10.66323,11.05846,11.43081,11.82453,12.19363,12.80322,13.37998,13.90068,14.49786
58,경기도 고양시 일산동구,8.50141,8.85231,9.11662,9.46036,9.81803,9.98455,10.54098,11.13452,11.7949,12.39574
59,경기도 고양시 일산서구,8.72295,9.13084,9.37002,9.64426,9.91697,10.12635,10.65695,11.19902,11.68936,12.36674
60,경기도 과천시,9.68383,10.21275,10.63788,11.01403,11.5003,12.12801,12.99216,13.35007,13.86883,14.12668
61,경기도 구리시,8.40256,8.92061,9.44485,9.91757,10.3727,10.64341,11.17865,11.69229,12.6259,13.41944
62,경기도 남양주시,9.54372,9.91245,10.27486,10.66788,11.08173,11.47558,12.27798,12.71303,13.25207,13.89716
63,경기도 오산시,6.36849,6.58492,6.81544,7.05487,7.42839,7.67531,8.13964,8.44686,8.94827,9.44083
64,경기도 시흥시,6.39339,6.68586,7.0165,7.30668,7.58055,7.85578,8.22348,8.36931,8.74067,9.18348
65,경기도 군포시,7.9939,8.39803,8.7587,9.12804,9.56493,10.01439,10.76723,11.45185,12.22612,13.01962
66,경기도 의왕시,8.55842,8.8248,9.25882,9.81563,10.35755,10.78826,11.68283,12.43796,12.92126,13.41376
67,경기도 하남시,9.85734,10.47043,11.15882,11.64974,11.59178,11.04021,11.53613,11.91321,12.33121,12.71412
68,경기도 용인시,9.05447,9.5192,9.88861,10.23323,10.6706,10.99436,11.64069,12.0822,12.6289,13.14655
69,경기도 용인시 처인구,10.46989,10.94175,11.3051,11.63141,12.00513,12.27082,12.94995,13.25797,13.85292,14.32435
70,경기도 용인시 기흥구,8.26585,8.76089,9.08076,9.42229,9.92687,10.26745,10.92819,11.42292,12.08714,12.71356
71,경기도 용인시 수지구,9.03773,9.47536,9.93646,10.29434,10.69642,11.03633,11.62847,12.05172,12.42785,12.84495
72,경기도 파주시,10.84506,11.08445,11.3968,11.67114,11.91531,12.06646,12.53426,12.81161,13.36072,13.85087
73,경기도 이천시,10.47779,10.84146,11.20406,11.64311,12.01796,12.06509,12.63712,13.06593,13.54977,14.00668
74,경기도 안성시,12.58583,13.04568,13.36861,13.73862,14.34303,14.54706,15.39177,15.97078,16.75472,17.34528
75,경기도 김포시,10.28273,10.23129,10.41994,10.4922,10.8686,11.1448,11.37769,11.46868,11.95688,12.26455
76,경기도 화성시,7.76736,7.97294,8.26439,8.47906,8.28415,8.25025,8.40026,8.37197,8.51537,8.79896
77,경기도 광주시,9.09653,9.51004,9.8361,10.18577,10.49847,10.74169,11.33208,11.77711,12.4362,13.16544
78,경기도 양주시,10.56698,11.15171,11.76993,12.17734,12.67058,12.99577,13.71603,14.34471,15.02919,15.55876
79,경기도 포천시,13.22491,13.80626,14.39372,14.94178,15.39512,15.69626,16.6428,17.45865,18.61112,19.63086
80,경기도 여주시,15.46279,16.08307,16.66956,16.917,17.32188,17.7281,18.8268,19.68976,20.76645,21.66314
81,경기도 연천군,20.23831,20.49826,21.03486,21.7953,21.93548,22.13606,22.94248,23.77389,25.07758,26.17114
82,경기도 가평군,19.42619,19.8638,20.51559,21.03148,21.52948,21.72848,22.66209,23.52586,24.71041,25.83332
83,경기도 양평군,18.81927,19.36923,19.90349,20.42912,20.93135,21.20377,22.22666,23.1724,24.34074,25.4321
84,강원도 춘천시,13.47996,14.00258,14.38014,14.64007,14.78145,14.85499,15.65483,16.22434,16.93798,17.6574
85,강원도 원주시,11.29421,11.61523,11.94815,12.17934,12.34373,12.49959,13.25552,13.71814,14.31296,14.91043
86,강원도 강릉시,14.81585,15.44909,16.07658,16.68574,17.20917,17.61969,18.59483,19.3532,20.19893,21.12788
87,강원도 동해시,13.55371,14.24859,14.721,15.28732,15.8592,16.2106,17.10375,18.10632,19.15335,19.98896
88,강원도 태백시,15.36193,16.19219,17.17219,18.06125,18.96802,19.68557,20.97716,22.15881,23.53531,24.92023
89,강원도 속초시,13.1781,13.79772,14.31133,14.87408,15.22953,15.59058,16.36503,17.08087,18.11557,19.01112
90,강원도 삼척시,18.0952,18.56672,19.05701,19.69881,20.50707,20.99168,22.02907,22.65755,23.80556,25.11312
91,강원도 홍천군,19.34792,19.86605,20.04445,20.43974,20.95513,21.30972,22.60307,23.45423,24.83442,25.9369
92,강원도 횡성군,22.22723,23.03485,23.65757,23.87764,24.23706,24.62003,25.98258,26.63399,27.88835,29.08653
93,강원도 영월군,22.11498,22.71199,23.38979,23.89092,24.32365,24.74235,25.89163,26.85376,28.17492,29.40462
