기간	지역	전체인구	전체인구	전체인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구
기간	지역	전체인구	전체인구	전체인구	합계	합계	합계	내국인	내국인	내국인	등록외국인	등록외국인	등록외국인
기간	지역	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자
2012.3/4	마포구	395,754	191,672	204,082	43,927	18,648	25,279	43,680	18,539	25,141	247	109	138
2012.3/4	양천구	501,855	249,342	252,513	43,077	18,280	24,797	42,956	18,221	24,735	121	59	62
2012.3/4	강서구	574,777	282,855	291,922	55,088	23,466	31,622	54,910	23,376	31,534	178	90	88
2012.3/4	구로구	456,694	230,425	226,269	44,605	20,205	24,400	43,932	19,903	24,029	673	302	371
2012.3/4	금천구	262,228	134,665	127,563	26,530	11,841	14,689	26,146	11,666	14,480	384	175	209
2012.3/4	영등포구	430,516	216,912	213,604	45,736	20,472	25,264	44,932	20,137	24,795	804	335	469
2012.3/4	동작구	414,415	203,669	210,746	46,515	20,513	26,002	46,335	20,436	25,899	180	77	103
2012.3/4	관악구	543,477	275,241	268,236	55,772	25,166	30,606	55,402	25,017	30,385	370	149	221
2012.3/4	서초구	441,645	213,889	227,756	41,312	18,805	22,507	41,194	18,749	22,445	118	56	62
2012.3/4	강남구	568,685	273,708	294,977	49,394	21,909	27,485	49,246	21,838	27,408	148	71	77
2012.3/4	송파구	686,472	336,055	350,417	58,142	25,642	32,500	57,997	25,578	32,419	145	64	81
2012.3/4	강동구	494,186	247,091	247,095	44,228	19,309	24,919	44,138	19,269	24,869	90	40	50
2012.4/4	합계	10,442,426	5,159,665	5,282,761	1,110,995	484,345	626,650	1,105,583	481,951	623,632	5,412	2,394	3,018
2012.4/4	종로구	173,148	85,997	87,151	23,868	10,430	13,438	23,730	10,360	13,370	138	70	68
2012.4/4	중구	140,807	70,762	70,045	18,875	8,020	10,855	18,690	7,934	10,756	185	86	99
2012.4/4	용산구	255,294	124,708	130,586	33,027	13,848	19,179	32,786	13,711	19,075	241	137	104
2012.4/4	성동구	306,868	153,272	153,596	34,180	14,736	19,444	34,056	14,689	19,367	124	47	77
2012.4/4	광진구	384,269	189,367	194,902	35,759	15,852	19,907	35,539	15,745	19,794	220	107	113
2012.4/4	동대문구	375,683	187,851	187,832	46,795	20,674	26,121	46,625	20,604	26,021	170	70	100
2012.4/4	중랑구	423,655	211,708	211,947	46,476	20,281	26,195	46,402	20,252	26,150	74	29	45
2012.4/4	성북구	490,639	241,162	249,477	58,142	25,036	33,106	58,000	24,973	33,027	142	63	79
2012.4/4	강북구	346,493	171,099	175,394	46,222	20,258	25,964	46,147	20,224	25,923	75	34	41
2012.4/4	도봉구	364,454	180,023	184,431	42,267	18,460	23,807	42,230	18,445	23,785	37	15	22
2012.4/4	노원구	600,829	293,616	307,213	61,218	24,670	36,548	61,150	24,641	36,509	68	29	39
2012.4/4	은평구	505,902	248,150	257,752	60,776	26,565	34,211	60,649	26,500	34,149	127	65	62
2012.4/4	서대문구	324,733	157,969	166,764	42,088	17,831	24,257	41,756	17,683	24,073	332	148	184
2012.4/4	마포구	393,576	190,514	203,062	44,283	18,800	25,483	44,027	18,690	25,337	256	110	146
